usvit_prime_demo;Ano;Ano;Ano;Ano;Ne;Ano;Ne;Ne;Ne;Ne;Ne;Ano;Ne;Ne;Ano;Ano;Ne;Ano;Ano;Ne;Ano;Ano;Ano;Ano;Ano;Ne;Ne;Ne;Ne;Ano;Ano;Ano;Ano;Ne;Ne;Ano;Ano;Ne;Ano;Ano;Ano;Ano;Ne;Ne;Ano;Ano;Nevíme;Ano;Ne;Ano;Ano;Ano;Ano;Ano;Ano;Ne;Ne;Ne;Ano;Ano;Ano
koruna_ceska;Ano;Ano;Ano;Ne;Ne;Ne;Ne;Ano;Ne;Ne;Ano;Ano;Ano;Ne;Ano;Ano;Ne;Ano;Ano;Ne;Ano;Ano;Ne;Ne;Ano;Ne;Ne;Ne;Ne;Ano;Ano;Ano;Ne;Ne;Ano;Ne;Ano;Ne;Ano;Ano;Ano;Ano;Ne;Ne;Ano;Ano;Ano;Ano;Ne;Ano;Ano;Ano;Ne;Ne;Ano;Ne;Ne;Ne;Ano;Ano;Ano
strana_zelenych;Ano;Ano;Ano;Ano;Ne;Ne;Ano;Ano;Ano;Ano;Ano;Ano;Ano;Ano;Ano;Ano;Ne;Ano;Ano;Ano;Ano;Ano;Ano;Ne;Ano;Ano;Ano;Ano;Ne;Ano;Ano;Ano;Ano;Ano;Ano;Ano;Ano;Ne;Ano;Ano;Ano;Ano;Ano;Ano;Ano;Ano;Ano;Ne;Ne;Ano;Ne;Ano;Ano;Ano;Ano;Ano;Ne;Ano;Ano;Ano;Ano
SPOZ;Ano;Ano;Ne;Ano;Ne;Ne;Ano;Ne;Ano;Ano;Ano;Ano;Ano;Ano;Ano;Ano;Ano;Ano;Ano;Ne;Ne;Ano;Ano;Ano;Ano;Ne;Ano;Ne;Ano;Ano;Ano;Ano;Ano;Ano;Ano;Ano;Ano;Ano;Ne;Nevíme;Ano;Ano;Ano;Ne;Ano;Ano;Ano;Ano;Ne;Ano;Ne;Ano;Ne;Ne;Ano;Ano;Ne;Ne;Ano;Ano;Ano
CPS;Ano;Ano;Ano;Ano;Ne;Ano;Ne;Ano;Nevíme;Ano;Ano;Ano;Ano;Ne;Ano;Ano;Ano;Ano;Ano;Ano;Ano;Ano;Ano;Ne;Ano;Ne;Ne;Ano;Ne;Ano;Ano;Ano;Ano;Ano;Ne;Ano;Ano;Ne;Ano;Nevíme;Ano;Ano;Ano;Ne;Ne;Ano;Ano;Nevíme;Ne;Ano;Ne;Ano;Ne;Ano;Ano;Ne;Ne;Ano;Ano;Ano;Ne
politicke_hnuti_zmena;Ano;Ano;Nevíme;Ano;Ne;Ano;Nevíme;Ano;Nevíme;Nevíme;Ano;Ano;Ano;Ano;Ano;Ano;Ano;Ano;Ano;Ano;Ano;Ano;Ano;Ne;Ano;Ano;Ano;Ano;Nevíme;Ano;Ano;Ano;Ano;Ano;Ano;Ano;Ano;Nevíme;Nevíme;Nevíme;Ano;Ano;Ano;Nevíme;Ano;Ano;Nevíme;Ano;Ne;Ano;Nevíme;Ano;Nevíme;Ano;Ano;Nevíme;Nevíme;Nevíme;Ano;Ano;Ano
CSSD;Ano;Ano;Ano;Ano;Ne;Ne;Ano;Ano;Ano;Ano;Ano;Ano;Ano;Ano;Ne;Nevíme;Nevíme;Ano;Ne;Nevíme;Nevíme;Ano;Ano;Nevíme;Ano;Ne;Ano;Ne;Ano;Ano;Ano;Ano;Nevíme;Ano;Ano;Ano;Ne;Ne;Ne;Ne;Ano;Ano;Ano;Ano;Nevíme;Ano;Nevíme;Ano;Ne;Ano;Ne;Nevíme;Ne;Ano;Ano;Ano;Ne;Ne;Nevíme;Ano;Ne
pravy_blok_cibulka;Ano;Ano;Ne;Ano;Ano;Ne;Ne;Ne;Ano;Ne;Ne;Ne;Ano;Ne;Ano;Ano;Ne;Ano;Ne;Ne;Ano;Ano;Ano;Ne;Ano;Ano;Ano;Ne;Ano;Ano;Ano;Ano;Ano;Ano;Ano;Ano;Ano;Ne;Ne;Ne;Ano;Ano;Ano;Ne;Ano;Ano;Ano;Ano;Ne;Ano;Ne;Ano;Ne;Ne;Ano;Ne;Ne;Ano;Ano;Ano;Ano
strana_soukromniku_cr;Ne;Ano;Ne;Ne;Ne;Ano;Ne;Ano;Ne;Ne;Ne;Ne;Ano;Ne;Ano;Ano;Ne;Ano;Ano;Ne;Ne;Ano;Ano;Ne;Ano;Ano;Ne;Ano;Ano;Ne;Ne;Ano;Ano;Ne;Ano;Ano;Ano;Ano;Ne;Ne;Ano;Ano;Ne;Ne;Ano;Ne;Ano;Ne;Ne;Ano;Ne;Ano;Ano;Ano;Ano;Ano;Ano;Ne;Ano;Ano;Ano
ODS;Ano;Ano;Nevíme;Ano;Ne;Ne;Ne;Ano;Ne;Ne;Ne;Ano;Ne;Ne;Ano;Ano;Ne;Ne;Ne;Ne;Nevíme;Ano;Ne;Ne;Ano;Ne;Ne;Ne;Ne;Ne;Ne;Ano;Ne;Ano;Ne;Ne;Ano;Ano;Ano;Ano;Nevíme;Ne;Ne;Ne;Ano;Ano;Ano;Ano;Ne;Nevíme;Ano;Ne;Ne;Ne;Ne;Nevíme;Ano;Ne;Ne;Ano;Ano
